Conc,WB,C6NR,C60.5,C6aI
1e-20,100,100,100,100
1,99.2517337875654,73.26599778530922,100.9254576716901,108.02102264354832
2,98.08878086222336,177.10585409159748,103.13885166477684,92.35865277637302
5,60.13499092946324,63.398713723482544,105.41208306370964,62.27272727272728
10,21.216037839621606,21.610210152576528,102.57983861802478,74.08286103422522
20,3.5285357417371253,2.7928007802110115,71.97368421052632,32.12071987346642
50,0.6541157070221245,0.7687831174002266,24.205133916142323,10.06202945215209
