Conc,WB,C6NR,C60.5,C6aI
1e-20,100,100,100,100
1,94.19662321651407,80.40215624197826,110.69804760631186,87.45354158162716
2,81.27497015519299,83.33669410276622,112.21580597261178,88.8857618012025
5,52.438840333136675,52.643668977088865,99.80899757836215,72.7958061299971
10,21.069679128173217,22.707327403642523,100.6667766958244,67.55260541237806
20,3.5813231603835165,5.003677788046246,57.25413524501133,37.31036969243143
50,0.4430041542412907,0.5373078540391534,20.331555525359242,10.039436038868985
